mes,ipc,open,close,volume,variacion_bma
2020-03,3.3,21.920035321805837,12.6642484664917,7992100,-42.22523695528251
2020-06,2.2,13.245996711755966,13.835206031799316,15743500,4.4482067515570245
2020-09,2.8,14.17828860056423,10.66541576385498,7827600,-24.77642355629193
2020-12,4.0,12.171996700973269,11.612624168395996,6108000,-4.595569209549207
2021-03,4.8,10.359623698106052,9.956872940063477,7621700,-3.8876967907261584
2021-06,3.2,12.485247133021177,11.209872245788574,9816900,-10.215055205911556
2021-09,3.5,14.021663491104011,12.671704292297363,8515000,-9.627667927297813
2021-12,3.8,10.396915334943891,10.456582069396973,5053200,0.5738888173162512
2022-03,6.7,10.747456886782235,12.902915000915527,6028200,20.055517661896218
2022-06,5.3,11.88112360401595,8.743440628051758,5887100,-26.40897511497668
2022-09,6.2,11.188575400121811,11.358663558959961,6406600,1.520194955617833
2022-12,5.1,11.699867072334056,13.284466743469238,3670300,13.543740807809565
2023-03,7.7,16.77952361776663,14.409034729003906,4358000,-14.127271683999313
2023-06,6.0,14.271497413787607,21.350608825683594,9094900,49.603143991441996
2023-09,12.7,23.27983194493465,17.4996395111084,4345700,-24.82918453835289
2023-12,25.5,25.162939521292007,25.45563316345215,8008300,1.1631933618585166
2024-03,11.0,36.214452105591555,43.70772171020508,7487100,20.69137918410356
2024-06,6.0,60.281818716675666,53.4934196472168,7570700,-11.261105278466001
2024-09,6.0,58.123761697763065,63.113182067871094,6432400,8.584131901256574
2024-12,6.0,84.41264116758238,96.17057800292969,6817800,13.92911852148372
